"location","class","purchase_ton","year"
"Vendas Totais","CLASSE III","306222.70020459499",2012
"Vendas Totais","CLASSE IV","35848.805836692198",2012
"NORTE","CLASSE I","101.6744803",2013
"NORTE","CLASSE II","3826.5624364445907",2013
"NORTE","CLASSE III","9024.9952425279989",2013
"NORTE","CLASSE IV","677.90956360000007",2013
"AC","CLASSE I","0.24005969999999996",2013
"AC","CLASSE II","30.483878212000011",2013
"AC","CLASSE III","312.19322807600003",2013
"AC","CLASSE IV","3.6014710000000005",2013
"AM","CLASSE I","2.3301349999999994",2013
"AM","CLASSE II","10.151012680000001",2013
"AM","CLASSE III","105.79945918400004",2013
"AM","CLASSE IV","6.2517359000000008",2013
"AP","CLASSE I","0.0339",2013
"AP","CLASSE II","1.355588",2013
"AP","CLASSE III","52.70840896",2013
"AP","CLASSE IV","0.076076532000000002",2013
"PA","CLASSE I","24.055239800000003",2013
"PA","CLASSE II","1145.5044554352605",2013
"PA","CLASSE III","2780.314817896",2013
"PA","CLASSE IV","182.27614297000008",2013
"RO","CLASSE I","21.859108299999999",2013
"RO","CLASSE II","1077.1828080057098",2013
"RO","CLASSE III","2529.2990038639982",2013
"RO","CLASSE IV","201.34717705",2013
"RR","CLASSE I","0.36708499999999999",2013
"RR","CLASSE II","94.907767500000006",2013
"RR","CLASSE III","270.90911460000001",2013
"RR","CLASSE IV","7.4858470000000006",2013
"TO","CLASSE I","52.788952499999994",2013
"TO","CLASSE II","1466.9769266116205",2013
"TO","CLASSE III","2973.7712099480009",2013
"TO","CLASSE IV","276.87111314800001",2013
"NORDESTE","CLASSE I","363.82170800000006",2013
"NORDESTE","CLASSE II","16186.242146082948",2013
"NORDESTE","CLASSE III","26665.988081864802",2013
"NORDESTE","CLASSE IV","2063.9387710650508",2013
"MA","CLASSE I","61.063879099999994",2013
"MA","CLASSE II","2462.4937789459923",2013
"MA","CLASSE III","5391.2084596540008",2013
"MA","CLASSE IV","247.99847858000004",2013
"PI","CLASSE I","30.6225421",2013
"PI","CLASSE II","1582.6931810612505",2013
"PI","CLASSE III","3016.0114632060004",2013
"PI","CLASSE IV","215.16020171000011",2013
"CE","CLASSE I","7.7803059000000001",2013
"CE","CLASSE II","212.85150982785999",2013
"CE","CLASSE III","155.82717036279999",2013
"CE","CLASSE IV","59.449292601999986",2013
"RN","CLASSE I","1.7714212",2013
"RN","CLASSE II","124.33099100000007",2013
"RN","CLASSE III","120.26900467600002",2013
"RN","CLASSE IV","33.013540252000013",2013
"PB","CLASSE I","3.1673396999999994",2013
"PB","CLASSE II","270.58813219500007",2013
"PB","CLASSE III","410.06833990000007",2013
"PB","CLASSE IV","26.848409440000005",2013
"PE","CLASSE I","13.471222000000001",2013
"PE","CLASSE II","890.81467814385053",2013
"PE","CLASSE III","1192.5285746899992",2013
