"long","lat","order","hole","piece","group","id","x","y","UF"
-39.2976433993655,-17.2646029346223,19,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-39.1370707826283,-17.6701979372807,20,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-39.2702285623616,-17.8729954386099,21,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-39.5091292848244,-17.9782941412232,22,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-39.6657854962754,-18.3331897685493,23,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-40.2767447209343,-17.9353946697882,24,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-40.1984166152088,-17.7364971204076,25,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-40.6213883861265,-17.3699016372355,26,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-40.4960634169657,-16.8941074995016,27,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-40.2649955050755,-16.8590079319638,28,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-39.959515892746,-15.9971185513147,29,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-44.2127320336409,-14.2343402705299,30,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-46.0377768970451,-15.2210281135355,31,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-46.0260276811862,-14.8544326303635,32,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-46.2492627825039,-12.9551560313764,33,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-46.5664916106922,-11.3171762129481,34,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-45.8145417957274,-10.2524893309697,35,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-45.2466630292175,-10.821882315471,36,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-44.1344039279154,-10.6346846219363,37,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-43.6683516988486,-10.0340920218459,38,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-43.8524227473035,-9.5504979802147,39,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-43.4842806503937,-9.26580148796407,40,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-42.763662077719,-9.61679716334156,41,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-42.2388637693582,-9.25410163211815,42,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-41.8785544830209,-9.25410163211815,43,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-41.2558460425031,-8.65350903202777,44,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-40.7349641394285,-9.14490297755626,45,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-40.7427969500011,-9.41789961396098,46,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-40.3942368795226,-9.42569951785826,47,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-39.4112191526675,-8.52091066577405,48,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-38.6671021482752,-8.98110499571343,49,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-38.5261115579693,-8.84850662945971,50,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-38.2950436460791,-9.03570432299438,51,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-38.3616225359458,-9.15270288145354,52,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-38.2245483509261,-9.32040081524501,53,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-37.3002767033652,-4.81595631456717,1,FALSE,"1","6.1","6",-39.5850178,-5.09724616,"CE"
-37.6331711526986,-4.94855468082089,2,FALSE,"1","6.1","6",-39.5850178,-5.09724616,"CE"
-38.5691920161184,-6.35643733427951,3,FALSE,"1","6.1","6",-39.5850178,-5.09724616,"CE"
-38.7650122804321,-6.94923003047261,4,FALSE,"1","6.1","6",-39.5850178,-5.09724616,"CE"
-38.5378607738282,-7.28852585000418,5,FALSE,"1","6.1","6",-39.5850178,-5.09724616,"CE"
-38.7101826064243,-7.74872017994356,6,FALSE,"1","6.1","6",-39.5850178,-5.09724616,"CE"
-39.1292379720557,-7.74872017994356,7,FALSE,"1","6.1","6",-39.5850178,-5.09724616,"CE"
-39.6853675227068,-7.33142532143921,8,FALSE,"1","6.1","6",-39.5850178,-5.09724616,"CE"
-40.5469766856873,-7.39382455261743,9,FALSE,"1","6.1","6",-39.5850178,-5.09724616,"CE"
-40.3903204742363,-6.76983224083522,10,FALSE,"1","6.1","6",-39.5850178,-5.09724616,"CE"
-40.6958000865658,-6.64503377847878,11,FALSE,"1","6.1","6",-39.5850178,-5.09724616,"CE"
-41.040443751758,-4.90175525743723,12,FALSE,"1","6.1","6",-39.5850178,-5.09724616,"CE"
-41.3224249323698,-2.91277976363143,13,FALSE,"1","6.1","6",-39.5850178,-5.09724616,"CE"
-41.823724809013,-2.71778216619949,14,FALSE,"1","6.1","6",-39.5850178,-5.09724616,"CE"
-41.3224249323698,-2.91277976363143,15,FALSE,"1","6.1","6",-39.5850178,-5.09724616,"CE"
-40.0182619720402,-2.8386806766073,16,FALSE,"1","6.1","6",-39.5850178,-5.09724616,"CE"
-38.4712818839615,-3.69667010530783,17,FALSE,"1","6.1","6",-39.5850178,-5.09724616,"CE"
-37.895570306879,-4.33236227293596,18,FALSE,"1","6.1","6",-39.5850178,-5.09724616,"CE"
-37.3041931086515,-4.65995823662162,19,FALSE,"1","6.1","6",-39.5850178,-5.09724616,"CE"
-37.3002767033652,-4.81595631456717,20,FALSE,"1","6.1","6",-39.5850178,-5.09724616,"CE"
-47.3106086150845,-16.047817926647,1,FALSE,"1","7.1","7",-47.79584647,-15.77756388,"DF"
-48.2779607207945,-16.047817926647,2,FALSE,"1","7.1","7",-47.79584647,-15.77756388,"DF"
-48.2818771260807,-15.5057246057862,3,FALSE,"1","7.1","7",-47.79584647,-15.77756388,"DF"
-47.3106086150845,-15.5096245577348,4,FALSE,"1","7.1","7",-47.79584647,-15.77756388,"DF"
-47.3106086150845,-16.047817926647,5,FALSE,"1","7.1","7",-47.79584647,-15.77756388,"DF"
-40.926867998456,-21.3088531053607,1,FALSE,"1","8.1","8",-40.67555693,-19.5962671,"ES"
-41.7179818662836,-21.1216554118261,2,FALSE,"1","8.1","8",-40.67555693,-19.5962671,"ES"
-41.7140654609973,-20.8330589676268,3,FALSE,"1","8.1","8",-40.67555693,-19.5962671,"ES"
-41.8863872935934,-20.7862595442431,4,FALSE,"1","8.1","8",-40.67555693,-19.5962671,"ES"
-41.7884771614365,-20.2051667038959,5,FALSE,"1","8.1","8",-40.67555693,-19.5962671,"ES"
-41.3890038222365,-20.1895668961014,6,FALSE,"1","8.1","8",-40.67555693,-19.5962671,"ES"
-40.8994531614521,-19.265278284274,7,FALSE,"1","8.1","8",-40.67555693,-19.5962671,"ES"
-41.0600257781894,-19.0546808790475,8,FALSE,"1","8.1","8",-40.67555693,-19.5962671,"ES"
-40.9386172143148,-18.7699843867969,9,FALSE,"1","8.1","8",-40.67555693,-19.5962671,"ES"
-41.2010163684953,-18.3526895282925,10,FALSE,"1","8.1","8",-40.67555693,-19.5962671,"ES"
-40.969948456605,-18.1459920750147,11,FALSE,"1","8.1","8",-40.67555693,-19.5962671,"ES"
-40.770211787005,-18.1537919789119,12,FALSE,"1","8.1","8",-40.67555693,-19.5962671,"ES"
-40.613555575554,-17.9392946217368,13,FALSE,"1","8.1","8",-40.67555693,-19.5962671,"ES"
-40.2767447209343,-17.9353946697882,14,FALSE,"1","8.1","8",-40.67555693,-19.5962671,"ES"
-39.6657854962754,-18.3331897685493,15,FALSE,"1","8.1","8",-40.67555693,-19.5962671,"ES"
-39.802859681295,-18.7777842906941,16,FALSE,"1","8.1","8",-40.67555693,-19.5962671,"ES"
-39.6932003332793,-19.3315774674009,17,FALSE,"1","8.1","8",-40.67555693,-19.5962671,"ES"
-39.802859681295,-19.631873767446,18,FALSE,"1","8.1","8",-40.67555693,-19.5962671,"ES"
-40.0770080513343,-19.8229714129293,19,FALSE,"1","8.1","8",-40.67555693,-19.5962671,"ES"
-40.2258314522128,-20.2636659831255,20,FALSE,"1","8.1","8",-40.67555693,-19.5962671,"ES"
-40.5626423068324,-20.8447588234727,21,FALSE,"1","8.1","8",-40.67555693,-19.5962671,"ES"
-40.7780445975775,-20.8564586793186,22,FALSE,"1","8.1","8",-40.67555693,-19.5962671,"ES"
-40.926867998456,-21.3088531053607,23,FALSE,"1","8.1","8",-40.67555693,-19.5962671,"ES"
-50.5808070291243,-12.7952580014822,1,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-49.3314737428025,-13.1735533405002,2,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-46.2492627825039,-12.9551560313764,3,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-46.0260276811862,-14.8544326303635,4,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-46.8406399807315,-14.9831310446686,5,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-46.8093087384413,-15.8723200889582,6,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-47.3106086150845,-16.047817926647,7,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-47.3106086150845,-15.5096245577348,8,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-48.2818771260807,-15.5057246057862,9,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-48.2779607207945,-16.047817926647,10,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-47.3106086150845,-16.047817926647,11,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-47.2831937780806,-18.056293180196,12,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-47.8667381657356,-18.5281873659813,13,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-48.2583786943631,-18.3409896724466,14,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-49.0181613199005,-18.3487895763439,15,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-49.4019690379554,-18.6763855400295,16,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-50.3105750643713,-18.6997852517214,17,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-50.9411163154616,-19.4719757375519,18,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-52.8366564740188,-18.6256861646972,19,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-53.0833900070541,-17.9938939490177,20,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-53.2478790290776,-17.635098369743,21,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-53.0089783066148,-16.835608220272,22,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-52.2687777075088,-15.8879198967528,23,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-51.8340567207323,-15.8177207616773,24,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-51.6147380247009,-15.0689299875386,25,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-51.0977725269126,-14.9831310446686,26,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-50.5808070291243,-12.7952580014822,27,FALSE,"1","9.1","9",-49.60311111,-16.0467844,"GO"
-48.5442762802612,-5.16305203799603,1,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-47.5495093375473,-4.5468596301111,2,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-46.8837204388805,-3.56797169100275,3,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-46.0730245446216,-1.03690287633616,4,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-44.7688615842919,-1.52439686991601,5,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-44.4242179190997,-2.37458639471928,6,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-44.0051625534683,-2.51498466487027,7,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-43.5469431349741,-2.22248826872236,8,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-42.5051793288249,-2.73338197399405,9,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-41.8198084037267,-2.72558207009677,10,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-42.9868971790367,-4.23486347421999,11,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-42.9203182891701,-6.66843349017061,12,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-43.4764478398211,-6.89073075124303,13,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-43.6252712406996,-6.64503377847878,14,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-44.0874070644801,-6.81273171227025,15,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-44.5730413199782,-7.32362541754193,16,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-45.4542325093901,-7.67072114097079,17,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-45.9594487913196,-8.85630653335699,18,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-45.8145417957274,-10.2524893309697,19,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-46.3941697780961,-10.1120910608187,20,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-46.5821572318373,-9.70259610621161,21,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-47.0442930556178,-9.00450470740526,22,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-46.8014759278687,-8.3649125878285,23,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-46.4803306943942,-8.3142132124962,24,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-46.535160368402,-7.87351864230001,25,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-47.0442930556178,-7.99051720075917,26,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-47.6748343067081,-7.23392652272324,27,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-47.3693546943786,-6.25893853556354,28,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-47.502512474112,-5.47894814583577,29,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
-48.5442762802612,-5.16305203799603,30,FALSE,"1","10.1","10",-45.29536634,-5.04743205,"MA"
